Sr. No.,Mpp/Mcc Name,Milk Qty,Latitude,Longitude,Milk Dispatched Locations
212,Digras Bk,355.58838709677417,21.331931,78.543988,Mcc Dhanoli
213,Ridhora,265.9735483870968,21.232673,78.622824,Mcc Dhanoli
214,Mohadi Dalvi,78.36580645161291,21.500433,78.554905,Mcc Dhanoli
215,Pimpalgaon,711.3170967741935,21.456847,78.550165,Mcc Dhanoli
216,Mohadi Dhotra,87.34354838709677,21.421933,78.531603,Mcc Dhanoli
217,Singarkheda,27.404838709677417,21.333358,78.554196,Mcc Dhanoli
218,Wandli Kh,188.6525806451613,21.35904,78.54583,Mcc Dhanoli
219,Yerla Dhote,322.0967741935484,21.334164,78.561714,Mcc Dhanoli
220,Yenwa,412.21193548387095,21.353264,78.598197,Mcc Dhanoli
221,Sirsawadi,125.84129032258065,21.295161,78.587456,Mcc Dhanoli
222,Gharatwada,122.14258064516129,21.228991,78.60817,Mcc Dhanoli
223,Dhawadi Kh,136.18709677419355,21.128018,78.4122934,Mcc Dhanoli
224,Gawandi,132.2758064516129,21.12992,78.430607,Mcc Dhanoli
225,Dhawasa Heti,198.67741935483872,21.107103,78.439682,Mcc Dhanoli
226,Sawal,134.68774193548387,21.108996,78.451927,Mcc Dhanoli
227,Morshi Karanja,22.51483870967742,21.141399,78.454046,Mcc Dhanoli
228,Kharas Khanda,38.07032258064516,21.128892,78.464977,Mcc Dhanoli
229,Kundi Heti,143.09548387096774,21.131261,78.491741,Mcc Dhanoli
230,Kondhali,69.19677419354838,21.134917,78.640738,Mcc Dhanoli
231,Khairi Kh,273.1109677419355,21.113201,78.595615,Mcc Dhanoli
232,Kajali,17.970000000000002,21.103035,78.58678,Mcc Dhanoli
233,Degma,67.12741935483871,21.032348,78.849768,Mcc Dhanoli
235,Dhamana,203.95483870967743,21.137062,78.841154,Mcc Dhanoli
236,Satnavari,104.95838709677419,21.131415,78.803975,Mcc Dhanoli
237,Bajargaon,270.1141935483871,21.137981,78.771529,Mcc Dhanoli
238,Garamsur,68.87806451612904,21.167355,78.736946,Mcc Dhanoli
239,Dhotiwada,63.483225806451614,21.046701,78.659319,Mcc Dhanoli
240,Met Hiraji,497.8867741935484,21.042513,78.634435,Mcc Dhanoli
241,Wadhona,229.81290322580648,21.318627,78.578509,Mcc Dhanoli
242,Gonhi,194.77612903225804,21.334711,78.617613,Mcc Dhanoli
243,Isapur Bk,367.9741935483871,21.329723,78.650244,Mcc Dhanoli
244,Isapur Kh.,450.08258064516133,21.326427,78.648126,Mcc Dhanoli
245,Zilpa,268.33451612903224,21.341404,78.684671,Mcc Dhanoli
246,Mendhepthar,57.25032258064516,21.246194,78.684938,Mcc Dhanoli
247,Chikhali,403.1322580645161,21.228404,78.668571,Mcc Dhanoli
248,Maragsur,106.83935483870968,21.206809,78.708254,Mcc Dhanoli
249,Dudhala,215.2232258064516,21.136572,78.647488,Mcc Dhanoli
250,Ladgad,94.39516129032258,20.989485,78.480705,Mcc Dhanoli
251,Kharangana Gode,254.99741935483874,20.978273,78.466851,Mcc Dhanoli
252,Susund,40.085806451612896,20.968109,78.534615,Mcc Dhanoli
